total_count,2017
repository,Manuscripts and Archives

repo_uri,resource_uri,parent_uri,archival_object_uri,resource_title,archival_object_title,archival_object_level,extent_number,extent_type,extent_portion
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2019473,Othniel Charles Marsh papers,General correspondence,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021075,Othniel Charles Marsh papers,Marsh family,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021365,Othniel Charles Marsh papers,Education of O. C. Marsh,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021394,Othniel Charles Marsh papers,Writings of O. C. Marsh,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021424,Othniel Charles Marsh papers,Biographical material,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021445,Othniel Charles Marsh papers,Cardiff Giant hoax,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021450,Othniel Charles Marsh papers,Red Cloud Agency,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021487,Othniel Charles Marsh papers,Additional material,series,,,
/repositories/12,/repositories/12/resources/4876,,/repositories/12/archival_objects/2021489,Othniel Charles Marsh papers,Additional material,series,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019474,Othniel Charles Marsh papers,"Abbe, Cleveland (1838-1916)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019475,Othniel Charles Marsh papers,"Abbot, Henry Larcom (1831-1927)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019476,Othniel Charles Marsh papers,"Aberdeen, John Campbell Gordon (1847-1934)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019477,Othniel Charles Marsh papers,"Adams, Andrew Leith (?-1882)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019478,Othniel Charles Marsh papers,"Adams, Charles Francis (1835-1915)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019479,Othniel Charles Marsh papers,"Adam, Henry (1838-1918)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019480,Othniel Charles Marsh papers,"Adams, Henry Martyn (1844-1909)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019481,Othniel Charles Marsh papers,"Adam, John M.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019482,Othniel Charles Marsh papers,"Adams, L.S.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019483,Othniel Charles Marsh papers,"Agassiz, Alexander (1835-1910)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019484,Othniel Charles Marsh papers,"Agassiz, Louis (1807-1873)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019485,Othniel Charles Marsh papers,Alaska Commercial Company,file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019486,Othniel Charles Marsh papers,"Alexander, W.M.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019487,Othniel Charles Marsh papers,"Allen, A.H.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019488,Othniel Charles Marsh papers,"Allen, Harrison (1841-1897)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019489,Othniel Charles Marsh papers,"Allen, Joel Asaph (1838-1921)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019490,Othniel Charles Marsh papers,"Allen, O.P.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019491,Othniel Charles Marsh papers,"Allison, William Boyd (1829-1908)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019492,Othniel Charles Marsh papers,"Alvord, Benjamin (1813-1884)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019493,Othniel Charles Marsh papers,"Ameglino, Florentino (1854-1911)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019494,Othniel Charles Marsh papers,"Ami, Henry Marc (1858-?)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019495,Othniel Charles Marsh papers,"Anderson, A.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019496,Othniel Charles Marsh papers,"Anderson, Joseph (1826, 1916)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019497,Othniel Charles Marsh papers,"Andrews, Ebenezer Ealdwin (1821-1880)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019498,Othniel Charles Marsh papers,"Andrews, Edmund (1824-1904)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019499,Othniel Charles Marsh papers,"Andrews, Joseph Ryde (?-1906)",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019500,Othniel Charles Marsh papers,"Andrews, S.W.F.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019501,Othniel Charles Marsh papers,"Arkell, Tufts and Co.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019502,Othniel Charles Marsh papers,"Arnold, L.C.",file,,,
/repositories/12,/repositories/12/resources/4876,/repositories/12/archival_objects/2019473,/repositories/12/archival_objects/2019503,Othniel Charles Marsh papers,"Arnold, Mat thew",file,,,
